Name,Location,Year,Car_Age,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(kmpl),Engine(CC),Power(bhp),Seats,Price
Maruti S Cross DDiS 200 Alpha,Bangalore,2015,9,55392,Diesel,Manual,Second,23.65,1248.0,88.5,5.0,8.25
Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,9,55985,Petrol,Automatic,First,13.53,1984.0,177.01,5.0,23.5
Hyundai i20 1.2 Magna,Kolkata,2010,14,45807,Petrol,Manual,First,18.5,1197.0,80.0,5.0,1.87
Volkswagen Vento Petrol Highline AT,Kolkata,2010,14,33000,Petrol,Automatic,First,14.4,1598.0,103.6,5.0,2.85
Honda City Corporate Edition,Mumbai,2012,12,51920,Petrol,Manual,First,16.8,1497.0,116.3,5.0,4.25
Nissan Micra Diesel XV,Hyderabad,2012,12,54000,Diesel,Manual,First,23.08,1461.0,63.1,5.0,4.25
Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,11,54000,Petrol,Manual,Second,20.92,998.0,67.1,5.0,2.75
Honda WRV i-VTEC VX,Kochi,2018,6,37430,Petrol,Manual,First,17.5,1199.0,88.7,5.0,9.9
Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,17,262000,Diesel,Manual,Fourth & Above,12.8,2494.0,102.0,7.0,4.0
Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,11,62000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,7.75
Toyota Corolla Altis G,Delhi,2012,12,87615,Petrol,Manual,First,14.53,1798.0,138.1,5.0,6.75
Mahindra Ssangyong Rexton RX7,Bangalore,2013,11,72000,Diesel,Automatic,Second,11.18,2696.0,184.0,7.0,12.5
Audi A6 2.7 TDI,Kolkata,2010,14,35000,Diesel,Automatic,First,12.4,2698.0,179.5,5.0,11.5
Volkswagen Vento 1.6 Highline,Coimbatore,2014,10,55431,Petrol,Manual,Second,16.09,1598.0,103.5,5.0,6.98
Maruti Wagon R LXI BSIII,Jaipur,2009,15,83816,Petrol,Manual,Second,14.0,1061.0,64.0,5.0,1.85
Maruti Vitara Brezza ZDi Plus,Kochi,2018,6,50075,Diesel,Manual,First,24.3,1248.0,88.5,5.0,8.63
Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,7,52000,Petrol,Manual,First,18.15,1198.0,82.0,5.0,4.85
Mercedes-Benz M-Class ML 350 CDI,Pune,2013,11,85000,Diesel,Automatic,First,11.74,2987.0,254.8,5.0,28.0
Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,11,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,5.0
Maruti Alto LXi,Delhi,2008,16,90000,Petrol,Manual,Second,19.7,796.0,46.3,5.0,1.25
Tata Nano LX SE,Kochi,2014,10,19698,Petrol,Manual,First,25.4,624.0,37.5,4.0,1.53
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,7,22033,Diesel,Manual,First,25.32,1198.0,77.0,6.0,5.58
Hyundai i20 Magna Optional 1.2,Kochi,2014,10,35487,Petrol,Manual,First,18.5,1197.0,82.9,5.0,4.74
Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,10,46374,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,8.85
Toyota Corolla Altis G AT,Mumbai,2016,8,52001,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,10.11
Hyundai Elantra CRDi,Ahmedabad,2008,16,58005,Diesel,Manual,Second,14.9,1991.0,112.2,5.0,4.25
Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,12,70704,Petrol,Manual,First,11.25,2694.0,163.7,7.0,10.95
Hyundai Xcent 1.1 CRDi S,Jaipur,2014,10,75000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,3.85
Mahindra Thar CRDe AC,Jaipur,2012,12,75800,Diesel,Manual,Second,16.55,2498.0,105.0,6.0,5.5
Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,9,13648,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,21.43
Maruti Swift LDI,Delhi,2014,10,52000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,4.25
Maruti Swift Ldi BSIV,Kolkata,2014,10,53000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,3.3
Maruti Swift VDI,Delhi,2013,11,65650,Diesel,Manual,First,28.4,1248.0,74.0,5.0,3.85
Hyundai Grand i10 Sportz,Chennai,2015,9,54000,Petrol,Manual,Third,18.9,1197.0,82.0,5.0,3.6
Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,9,39000,Petrol,Manual,First,15.04,1598.0,103.2,5.0,3.99
Renault KWID RXT,Kochi,2017,7,16542,Petrol,Manual,First,25.17,799.0,53.3,5.0,3.3
Hyundai i10 Asta,Kolkata,2010,14,32000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.07
Nissan X-Trail SLX AT,Hyderabad,2010,14,121812,Diesel,Automatic,First,13.29,1995.0,147.6,5.0,7.75
Maruti Zen Estilo VXI BSIII,Hyderabad,2010,14,39300,Petrol,Manual,First,18.2,998.0,67.1,5.0,2.25
Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,7,22000,Diesel,Manual,First,13.68,2393.0,147.8,8.0,16.5
Ford Figo Diesel Titanium,Bangalore,2010,14,72000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.75
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,9,58000,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,26.7
Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,13,65000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,10.0
Tata Indica V2 eLS,Chennai,2016,8,178000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,2.5
Audi A4 2.0 TDI Multitronic,Jaipur,2012,12,65664,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,13.5
Honda City ZX CVT,Mumbai,2007,17,63000,Petrol,Automatic,Second,16.4,1497.0,78.0,5.0,1.85
Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,5,15369,Diesel,Automatic,First,0.0,1950.0,194.0,5.0,35.67
Maruti Ertiga SHVS VDI,Pune,2016,8,63000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,8.15
Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,6,13000,Diesel,Manual,First,22.1,1396.0,88.7,5.0,10.5
Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,16,73000,Petrol,Automatic,First,8.5,4806.0,500.0,5.0,14.5
Mahindra XUV500 W8 4WD,Mumbai,2015,9,55729,Diesel,Manual,First,15.1,2179.0,140.0,7.0,9.65
Hyundai i10 Sportz 1.2 AT,Kochi,2012,12,45178,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,3.48
Nissan Terrano XV D Pre,Kochi,2015,9,56066,Diesel,Manual,First,19.64,1461.0,108.5,5.0,6.92
Honda Brio VX AT,Coimbatore,2016,8,37300,Petrol,Automatic,Second,16.5,1198.0,86.8,5.0,6.46
Audi A6 2.0 TDI Design Edition,Delhi,2014,10,56000,Diesel,Automatic,Second,18.53,1968.0,187.74,5.0,29.5
Ford Fiesta 1.4 SXi TDCi,Jaipur,2008,16,111111,Diesel,Manual,First,17.8,1399.0,null,5.0,2.0
Toyota Innova 2.0 G1,Chennai,2006,18,230000,Petrol,Manual,Third,12.4,1998.0,132.0,8.0,4.5
Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,12,104000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,11.75
Hyundai Santro Xing XL,Hyderabad,2005,19,87591,Petrol,Manual,First,0.0,1086.0,null,5.0,1.3
Maruti Swift VDI,Jaipur,2012,12,95100,Diesel,Manual,First,22.9,1248.0,74.0,5.0,3.75
Tata Zest Revotron 1.2T XE,Pune,2017,7,70000,Petrol,Manual,First,17.57,1193.0,88.7,5.0,4.5
Honda Amaze SX i-VTEC,Kochi,2016,8,54944,Petrol,Manual,First,18.0,1198.0,86.7,5.0,4.82
Ford Figo Diesel ZXI,Hyderabad,2012,12,70337,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.8
Maruti Ritz VDi,Jaipur,2013,11,99638,Diesel,Manual,First,23.2,1248.0,73.94,5.0,3.11
Honda City i VTEC E,Delhi,2009,15,52000,Petrol,Manual,First,17.8,1497.0,117.3,5.0,3.25
BMW 5 Series 2003-2012 525d,Delhi,2011,13,75000,Diesel,Automatic,Second,16.73,1995.0,218.0,5.0,13.9
Hyundai i10 Sportz 1.2,Pune,2009,15,95980,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.25
Hyundai Grand i10 Sportz,Bangalore,2016,8,16000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,5.75
Hyundai Santro Xing XO,Hyderabad,2007,17,73745,Petrol,Manual,First,17.0,1086.0,null,5.0,2.1
Honda Amaze SX i-VTEC,Mumbai,2016,8,18949,Petrol,Manual,First,17.8,1198.0,86.7,5.0,5.0
Toyota Fortuner 4x2 Manual,Delhi,2014,10,107000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,16.5
Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,6,48367,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,39.58
Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,11,57000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,5.5
Mahindra XUV500 W8 2WD,Delhi,2014,10,58000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,8.1
Honda Amaze SX i-DTEC,Kolkata,2015,9,30000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.5
Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,11,34212,Diesel,Manual,First,22.07,1199.0,73.9,5.0,2.79
Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,14,70002,Diesel,Manual,First,16.2,1493.0,110.0,5.0,3.45
Maruti Wagon R VXI BS IV,Bangalore,2016,8,62000,Petrol,Manual,First,18.9,998.0,67.1,5.0,4.45
Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,14,62001,Petrol,Manual,First,15.26,1598.0,103.5,5.0,2.65
Hyundai i20 1.4 CRDi Sportz,Pune,2011,13,78958,Diesel,Manual,Second,23.0,1396.0,90.0,5.0,3.8
Hyundai i20 Asta 1.2,Mumbai,2014,10,30180,Petrol,Manual,First,18.5,1197.0,82.85,5.0,4.65
Datsun GO Plus T Petrol,Pune,2017,7,32851,Petrol,Manual,First,19.83,1198.0,67.0,7.0,3.95
Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,14,30000,Diesel,Automatic,First,14.94,2967.0,241.4,5.0,9.8
Hyundai i20 2015-2017 Asta,Pune,2009,15,66000,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,2.7
Maruti Omni 5 Str STD,Coimbatore,2010,14,93850,Petrol,Manual,First,14.0,796.0,35.0,5.0,2.41
Toyota Etios Liva 1.2 G,Ahmedabad,2014,10,53000,Petrol,Manual,First,17.71,1197.0,78.9,5.0,3.9
Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,13,78000,Diesel,Automatic,Second,14.74,2993.0,270.9,5.0,24.0
Mahindra XUV500 W8 2WD,Delhi,2012,12,65000,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,5.75
Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,10,40000,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,5.25
Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,7,30000,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,19.25
Maruti Eeco 5 Seater AC,Coimbatore,2017,7,38053,Petrol,Manual,First,15.1,1196.0,73.0,5.0,3.91
Tata Nano Twist XT,Bangalore,2014,10,25500,Petrol,Manual,First,25.4,624.0,37.5,4.0,2.15
BMW 3 Series 320d Luxury Line,Mumbai,2015,9,56087,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,20.75
Honda Civic 2006-2010 1.8 V MT,Delhi,2010,14,71088,Petrol,Manual,First,13.5,1799.0,130.0,5.0,3.35
Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,10,55000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,11.11
Volvo V40 Cross Country D3,Bangalore,2014,10,32700,Diesel,Automatic,First,23.3,1984.0,150.0,5.0,20.0
Nissan Micra XV CVT,Coimbatore,2016,8,39882,Petrol,Automatic,First,19.15,1198.0,75.94,5.0,6.55
BMW 5 Series 2010-2013 525i,Mumbai,2009,15,128000,Petrol,Automatic,First,10.8,2497.0,215.0,5.0,7.0
Maruti Vitara Brezza VDi,Mumbai,2016,8,55000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,7.5
Hyundai Santro Xing XL eRLX Euro III,Mumbai,2005,19,102000,Petrol,Manual,Second,17.0,1086.0,null,5.0,0.85
Mercedes-Benz B Class B200 CDI,Pune,2014,10,53753,Diesel,Automatic,Second,15.0,2143.0,107.3,5.0,16.75
Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,6,10250,Diesel,Manual,First,22.0,1582.0,126.2,5.0,10.95
Maruti Wagon R LXI BS IV,Pune,2011,13,43874,Petrol,Manual,First,18.9,998.0,67.1,5.0,2.45
Tata Nano XTA,Coimbatore,2017,7,32684,Petrol,Automatic,First,21.9,624.0,37.48,4.0,3.23
Mahindra Scorpio VLX,Kolkata,2014,10,42000,Diesel,Manual,First,12.05,2179.0,120.0,8.0,7.75
Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,15,28352,Petrol,Automatic,First,11.7,1796.0,178.0,5.0,9.35
Maruti Wagon R LXI CNG,Pune,2013,11,89900,CNG,Manual,First,34.32,998.0,58.16,5.0,3.25
Honda CR-V 2.4 MT,Bangalore,2007,17,47700,Petrol,Manual,Second,10.8,2354.0,152.0,5.0,5.25
Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,9,55000,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,7.25
Maruti Ciaz VXi Plus,Kochi,2017,7,44285,Petrol,Manual,First,20.73,1373.0,91.1,5.0,7.47
Mahindra XUV500 AT W10 FWD,Jaipur,2016,8,54000,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,13.25
Maruti Ritz VXI ABS,Coimbatore,2016,8,30232,Petrol,Manual,First,21.1,1197.0,85.8,5.0,5.81
Maruti Alto K10 VXI,Hyderabad,2014,10,88500,Petrol,Manual,First,24.07,998.0,67.1,5.0,2.6
Mercedes-Benz SLC 43 AMG,Kolkata,2017,7,13372,Petrol,Automatic,First,19.0,2996.0,362.07,2.0,54.0
Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,5,12645,Petrol,Automatic,First,17.0,1591.0,121.3,5.0,11.5
Maruti Alto LXi BSIII,Chennai,2010,14,94385,Petrol,Manual,Second,19.7,796.0,46.3,5.0,1.6
BMW 1 Series 118d Base,Coimbatore,2015,9,31821,Diesel,Automatic,First,20.58,1995.0,143.0,5.0,17.22
Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,9,12000,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,6.0
Honda Civic 2006-2010 1.8 V MT,Delhi,2012,12,88578,Petrol,Manual,First,13.5,1799.0,130.0,5.0,3.95
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,10,44965,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,17.95
Honda Amaze SX i-DTEC,Kolkata,2014,10,45044,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.7
Maruti Swift VVT VXI,Kochi,2016,8,34204,Petrol,Manual,First,22.0,1197.0,81.8,5.0,5.43
Hyundai Santro Xing XO eRLX Euro II,Kochi,2008,16,80759,Petrol,Manual,Third,17.0,1086.0,null,5.0,1.67
Toyota Fortuner 3.0 Diesel,Coimbatore,2012,12,91235,Diesel,Manual,First,11.5,2982.0,171.0,7.0,13.49
Chevrolet Beat LT Option,Pune,2014,10,38800,Petrol,Manual,First,18.6,1199.0,76.8,5.0,2.85
Skoda Rapid 1.5 TDI Elegance,Chennai,2013,11,83000,Diesel,Manual,First,21.14,1498.0,103.52,5.0,4.75
Maruti Ciaz 1.4 Alpha,Kochi,2018,6,41283,Petrol,Manual,First,20.73,1373.0,91.1,5.0,9.9
Audi RS5 Coupe,Mumbai,2013,11,23000,Petrol,Automatic,First,11.05,2894.0,444.0,4.0,37.0
BMW 3 Series Luxury Line,Mumbai,2014,10,48000,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,26.5
Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,9,48214,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,23.32
Maruti Swift VDI,Chennai,2016,8,35000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,6.25
Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,14,35277,Petrol,Automatic,First,7.81,5461.0,362.9,5.0,30.0
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,8,54620,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,9.86
Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,12,136997,Diesel,Automatic,First,17.2,1968.0,138.1,5.0,8.5
Hyundai EON Magna Plus,Kochi,2019,5,14322,Petrol,Manual,First,21.1,814.0,55.2,5.0,4.23
Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,12,65634,Diesel,Manual,First,22.07,1199.0,73.9,5.0,3.5
Datsun GO NXT,Kolkata,2016,8,6000,Petrol,Manual,First,20.63,1198.0,67.06,5.0,2.5
Honda Brio S MT,Kolkata,2013,11,33280,Petrol,Manual,First,19.4,1198.0,86.8,5.0,2.39
Mercedes-Benz B Class B180,Delhi,2013,11,29000,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,11.25
Honda City i DTEC V,Kochi,2015,9,42831,Diesel,Manual,First,26.0,1498.0,98.6,5.0,7.11
Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,8,90000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,10.9
Maruti Swift VXI Optional,Ahmedabad,2017,7,24005,Petrol,Manual,First,20.4,1197.0,81.8,5.0,6.2
Mahindra XUV500 W8 2WD,Mumbai,2012,12,32792,Diesel,Manual,First,15.1,2179.0,140.0,7.0,7.9
Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,10,147898,Diesel,Manual,First,22.7,1498.0,89.84,5.0,4.42
Toyota Fortuner 4x2 Manual,Mumbai,2012,12,131765,Diesel,Manual,First,13.0,2982.0,168.5,7.0,13.5
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,11,65000,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,6.25
Ford Figo Diesel Titanium,Jaipur,2010,14,66123,Diesel,Manual,Second,20.0,1399.0,68.0,5.0,2.1
BMW X5 xDrive 30d,Mumbai,2015,9,41000,Diesel,Automatic,First,15.3,2993.0,258.0,5.0,45.0
Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,7,23550,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,33.66
Honda Brio V MT,Bangalore,2012,12,45000,Petrol,Manual,Second,19.4,1198.0,86.8,5.0,3.65
Hyundai i10 Magna 1.2,Delhi,2013,11,60000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.75
Mercedes-Benz GLC 220,Bangalore,2016,8,44414,Diesel,Automatic,First,17.9,2143.0,170.0,5.0,42.5
Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,5,1000,Petrol,Manual,First,18.9,1197.0,81.86,5.0,6.5
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2012,12,62500,Diesel,Automatic,Second,17.68,1968.0,174.33,5.0,19.0
Volkswagen Vento Petrol Highline AT,Mumbai,2013,11,21000,Petrol,Automatic,Second,14.4,1598.0,103.6,5.0,4.45
Mini Countryman Cooper D,Jaipur,2017,7,8525,Diesel,Automatic,Second,16.6,1998.0,112.0,5.0,23.0
Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,10,29000,Diesel,Manual,First,22.54,1396.0,88.73,5.0,8.35
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,10,40000,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,22.95
Chevrolet Beat Diesel LT,Jaipur,2012,12,88000,Diesel,Manual,First,25.44,936.0,57.6,5.0,1.5
Skoda Superb Elegance 1.8 TSI AT,Kochi,2012,12,53537,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,6.89
Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2006,18,216000,Diesel,Manual,Second,17.8,1399.0,68.0,5.0,1.45
BMW 5 Series 520d Luxury Line,Hyderabad,2014,10,51000,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,33.5
Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,2007,17,118500,Petrol,Manual,First,12.9,1598.0,102.5,5.0,1.25
Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,12,63000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,4.2
Renault Lodgy 110PS RxZ 8 Seater,Mumbai,2015,9,25000,Diesel,Manual,First,19.98,1461.0,108.5,8.0,6.75
Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,2014,10,37382,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,32.0
Maruti Baleno Alpha,Kochi,2017,7,24773,Petrol,Manual,First,21.4,1197.0,83.1,5.0,7.5
Hyundai Verna 1.6 SX,Delhi,2012,12,62000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,4.6
Hyundai i10 Magna 1.1,Kochi,2017,7,52340,Petrol,Manual,First,19.81,1086.0,68.05,5.0,4.04
Mahindra Scorpio 1.99 S10 4WD,Kochi,2016,8,56739,Diesel,Manual,First,15.4,1997.0,120.0,7.0,10.31
Land Rover Range Rover 2.2L Dynamic,Coimbatore,2018,6,36091,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,55.76
Ford Figo Diesel ZXI,Chennai,2010,14,120000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.6
Maruti Ertiga ZDI,Mumbai,2016,8,33000,Diesel,Manual,First,25.47,1248.0,88.5,7.0,8.5
Honda City 1.5 GXI,Ahmedabad,2007,17,60006,Petrol,Manual,First,0.0,,,,2.95
Honda Amaze S i-Dtech,Kolkata,2014,10,52000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.5
Hyundai i10 Magna,Jaipur,2015,9,43571,Petrol,Manual,First,20.36,1197.0,78.9,5.0,3.55
Honda Amaze S i-Dtech,Kolkata,2013,11,50000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.25
Skoda Laura Ambiente,Hyderabad,2008,16,113000,Diesel,Manual,First,17.5,1896.0,106.0,5.0,4.5
Renault Duster 85PS Diesel RxL,Delhi,2014,10,90000,Diesel,Manual,First,19.87,1461.0,83.8,5.0,5.35
Mahindra NuvoSport N6,Chennai,2017,7,29000,Diesel,Manual,Second,17.45,1493.0,100.0,7.0,6.5
Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,2016,8,20000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,9.0
Hyundai i20 Asta Option 1.2,Kochi,2016,8,61012,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.0
Skoda Fabia 1.4 MPI Ambiente,Jaipur,2009,15,87459,Petrol,Manual,First,14.7,1390.0,85.0,5.0,2.75
Tata Indigo eCS GLX,Pune,2010,14,70500,Petrol,Manual,First,15.64,1193.0,64.1,5.0,1.5
Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Delhi,2015,9,64103,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,19.9
Skoda Octavia Elegance 1.8 TSI AT,Mumbai,2014,10,76000,Petrol,Automatic,First,14.7,1798.0,177.5,5.0,10.0
Toyota Etios Liva GD SP,Delhi,2014,10,104000,Diesel,Manual,First,23.59,1364.0,67.06,5.0,3.0
Maruti Swift 1.3 VXi,Kolkata,2010,14,42001,Petrol,Manual,First,16.1,,,,2.11
Mercedes-Benz B Class B180,Kochi,2014,10,37245,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,11.96
Honda Amaze S Diesel,Kolkata,2013,11,45000,Diesel,Manual,First,27.4,1498.0,98.6,5.0,3.25
Hyundai Verna 1.6 SX,Jaipur,2012,12,117837,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,4.75
Renault Duster 85PS Diesel RxL Optional,Mumbai,2014,10,30000,Diesel,Manual,First,20.46,1461.0,83.8,5.0,5.95
Hyundai Creta 1.6 VTVT S,Delhi,2015,9,27057,Petrol,Manual,Second,15.29,1591.0,121.3,5.0,8.15
Maruti Wagon R AMT VXI,Mumbai,2016,8,8500,Petrol,Automatic,First,20.51,998.0,67.0,5.0,4.22
